"시나리오별(1)","시도별(1)","성별(1)","연령별(1)",2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","계","50 - 54세",769128,781318,792047,794228,780011,755607,717216,685326,657189,637562,641397,652952,665894,670339,663410,636216
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","계","55 - 59세",752408,719176,708769,692659,712446,717298,733685,746250,749475,733845,712679,678241,650131,625132,607918,613023
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","계","60 - 64세",706615,727493,722763,727214,711864,693226,668071,661782,648455,668010,674207,691002,703648,707685,694025,675384
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","계","65 - 69세",509622,545593,569622,598063,628021,644253,669548,669772,677667,664701,649848,628400,624817,614124,635125,642477
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","계","70 - 74세",386879,398349,404303,413958,428689,461139,497220,522060,550416,580016,598529,626001,629272,639837,629648,617729
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","계","75 - 79세",290507,288084,298165,309321,325204,341853,353160,360526,371001,384979,416841,451382,475866,503979,533350,553198
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","계","80세이상",289744,311635,339005,365974,387012,407869,421607,452782,481320,506019,532578,548130,576319,604842,633159,679391
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","계","80 - 84세",176179,187183,204910,221134,228058,235107,234043,244880,255280,268631,283531,292999,300984,311764,325223,354950
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","계","85 - 89세",79030,87395,94854,102723,112695,120964,129697,143788,155727,159868,164897,163838,173550,182477,192816,204381
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","계","90 - 94세",27513,29622,31397,33576,36618,41131,46302,51301,56116,61696,66265,71217,79500,86204,88176,90897
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","계","95 - 99세",6171,6472,6803,7352,8436,9422,10244,11292,12454,13810,15644,17644,19567,21369,23550,25301
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","계","100세 이상",851,963,1041,1189,1205,1245,1321,1521,1743,2014,2241,2432,2718,3028,3394,3862
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","남자","계",4666345,4604919,4552192,4535176,4520521,4487832,4456334,4426944,4399089,4372478,4347133,4322978,4299848,4277731,4256570,4236149
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","남자","0 - 4세",148651,133213,122499,112776,103804,95993,90109,87294,87743,90504,95291,100673,105575,109977,113792,117008
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","남자","5 - 9세",178015,171611,162375,152542,144669,133099,121305,111705,103152,95092,88396,83336,80905,81258,83615,87834
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","남자","10 - 14세",181645,181145,179068,174961,172614,171190,166772,159486,150255,141860,130767,119381,110101,101886,94192,87803
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","남자","15 - 19세",212815,195949,189336,189020,185002,181434,181911,181310,177802,175473,174418,170336,163225,154184,145954,134991
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","남자","20 - 24세",312373,298254,281067,272537,265541,250073,233690,225287,222248,216569,214014,215728,216062,213008,210982,210360
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","남자","25 - 29세",405742,405842,396374,393019,383279,375989,367168,353970,337993,323773,304991,285868,276603,274086,269199,267464
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","남자","30 - 34세",368239,366157,373322,389565,399487,405407,410510,405437,398291,389381,382092,373066,358737,341500,326798,307857
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","남자","35 - 39세",382273,362378,342437,331426,327416,328794,331036,341460,354029,362543,368321,373237,368448,362095,353919,347397
